Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
4,4,90.8,515,1.34,4.2,47.7,884,2008,44,730,78.4,636,1267,39.6,1125,35.2,4.4,81.1,9.7,969,36.5,737,235,31.9,374,383,-0.3,65.6,407,12.72,860,26.88
0,3,89.4,562,1.65,6.3,49.7,891,2075,42.9,629,77.3,559,1202,37.6,1175,36.7,0.8,79.7,9.8,772,41.2,828,270,32.6,384,341,1.3,71.9,321,10.03,881,27.53
2,2,87.9,615,1.55,3.5,48.9,872,2062,42.3,782,71.9,539,1407,42.6,1058,32.1,10.6,72.2,15.7,695,37.1,787,263,33.4,446,397,1.5,75.8,437,13.24,970,29.39
0,13,86,596,1.33,3.8,49.3,862,2010,42.9,742,72.8,647,1217,35.8,1211,35.6,0.2,73.9,12,852,39.3,804,272,33.8,565,448,3.4,85.3,357,10.5,860,25.29
0,7,85.1,524,1.27,5.3,45.6,983,2257,43.6,881,71.2,642,1494,42.7,1260,36,6.7,78.5,6.6,787,34.2,738,238,32.2,377,412,-1,68.6,517,14.77,977,27.91
2,5,84.9,530,1.69,4,51.6,800,1974,40.5,620,72.1,503,1246,38.9,1011,31.6,7.3,69,15.9,619,35.4,731,244,33.4,369,313,1.8,78.1,350,10.94,896,28
3,3,84.4,442,1.21,3.8,47.1,939,2174,43.2,799,74.5,522,1405,41.3,1117,32.9,8.5,73.8,10.6,809,35,607,208,34.3,298,366,-2,76.5,440,12.94,965,28.38
1,12,84.4,558,1.52,3,48,826,1998,41.3,718,70.8,584,1321,38.9,1148,33.8,5.1,69.2,15.2,817,36.5,704,203,28.8,491,366,3.7,91.2,394,11.59,927,27.26
5,1,83.4,607,1.6,3.8,48.8,864,2064,41.9,825,72.1,474,1332,40.4,978,29.6,10.7,70.2,13.3,674,40.8,768,241,31.4,322,379,-1.7,87.9,401,12.15,931,28.21
0,4,83.3,611,1.7,6.2,47.5,760,1977,38.4,790,75.2,653,1288,37.9,1176,34.6,3.3,68,15.3,775,35.2,658,196,29.8,438,360,2.3,79.4,384,11.29,904,26.59
0,8,82.5,495,1.35,3,48.1,883,2027,43.6,703,71.8,529,1256,38.1,1118,33.9,4.2,73.3,9.3,783,35.6,733,247,33.7,382,367,0.5,75.8,387,11.73,869,26.33
0,6,81.8,613,1.74,3,46.2,830,1947,42.6,530,73.8,584,1308,39.6,1107,33.5,6.1,69.9,11.9,1063,34.8,663,211,31.8,370,352,0.5,69.7,394,11.94,914,27.7
