Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
Gonzaga (WCC),5,1,92.1,476,1.51,2.8,55.1,665,1589,41.9,590,72.7,433,986,37.9,796,30.6,7.3,69.1,23,520,36.5,548,178,32.5,397,315,3.2,100,249,9.58,737,28.35
Colgate (Patriot),0,14,86.3,265,1.75,3.5,49.8,388,952,40.8,294,73.1,235,596,39.7,525,35,4.7,68.6,17.7,340,40,352,92,26.1,181,151,2,93.3,146,9.73,450,30
Baylor (Big 12),6,1,84.4,409,1.37,3.8,49.3,575,1329,43.3,409,69.7,412,875,36.5,769,32,4.4,66.4,18,593,41.8,456,155,34,416,298,4.9,91.7,309,12.88,566,23.58
Iowa (Big Ten),1,2,83.8,555,2.01,4.5,46.9,772,1864,41.4,589,71.3,433,1164,40.1,1075,37.1,3.1,71.9,11.8,733,38.6,739,257,34.8,337,276,2.1,72.4,327,11.28,837,28.86
Arkansas (SEC),3,3,82.4,419,1.14,5.2,45.5,712,1716,41.5,593,73.7,474,1119,40,1000,35.7,4.2,70.7,11.7,649,33.9,645,210,32.6,431,368,2.2,78.6,335,11.96,784,28
LSU (SEC),1,8,82.1,332,1.05,2.8,46.3,724,1729,41.9,575,74.6,467,1034,38.3,1028,38.1,0.2,75.3,6.8,628,35,766,230,30,363,317,1.7,66.7,310,11.48,724,26.81
Oral Roberts (Summit League),2,15,81.8,329,1.1,4.1,45.4,707,1637,43.2,442,82.4,461,915,35.2,1013,39,-3.8,75.8,6,754,39,531,185,34.8,347,299,1.8,61.5,219,8.42,696,26.77
Illinois (Big Ten),1,1,81.4,473,1.24,2.8,49.9,725,1760,41.2,669,69.1,520,1172,40.4,880,30.3,10.1,69.2,12.2,524,37.6,581,190,32.7,335,381,-1.6,79.3,313,10.79,859,29.62
Ohio (MAC),1,13,80.9,412,1.49,2.1,48.9,598,1348,44.4,418,70.1,370,801,34.8,772,33.6,1.3,73.3,7.6,540,36.1,531,180,33.9,333,277,2.4,69.6,226,9.83,575,25
Alabama (SEC),2,2,79.6,426,1.01,4.4,43.1,753,1860,40.5,554,72,554,1215,40.5,1167,38.9,1.6,69.8,9.8,912,35.1,625,180,28.8,475,421,1.8,80,372,12.4,843,28.1
Winthrop (Big South),0,12,79.5,361,1.06,2.4,46.1,574,1332,43.1,522,68.6,436,966,40.2,751,31.3,9,66.8,12.8,575,35.3,485,157,32.4,392,340,2.2,95.8,313,13.04,653,27.21
Florida St. (ACC),2,4,78.9,322,1.02,5.1,47.4,514,1290,39.8,427,73.8,407,822,37.4,722,32.8,4.5,70.3,8.6,464,39,516,172,33.3,306,316,-0.5,72.7,257,11.68,565,25.68
BYU (WCC),0,6,78.7,431,1.25,2.8,48.2,641,1570,40.8,427,73.1,468,1024,39.4,847,32.6,6.8,68.5,10.3,616,37.8,551,180,32.7,302,346,-1.7,76.9,247,9.5,777,29.88
Eastern Wash. (Big Sky),0,14,78,347,1.31,2.9,46.7,583,1408,41.4,413,78.7,390,820,35.7,794,34.5,1.1,69.4,8.6,548,35.4,499,154,30.9,273,264,0.4,69.6,177,7.7,643,27.96
Abilene Christian (Southland),1,14,77.6,491,1.31,3.1,46,556,1390,40,571,67.3,524,980,36.3,912,33.8,2.5,60.5,17.1,606,35.3,481,147,30.6,547,374,6.4,85.2,309,11.44,671,24.85
Houston (AAC),4,2,77.6,381,1.3,4.7,44.4,517,1396,37,494,74.1,506,1110,41.1,863,32,9.1,57.9,19.8,699,36.1,531,146,27.5,395,293,3.8,88.9,387,14.33,723,26.78
Drake (MVC),0,11,77.4,399,1.33,3,49.4,677,1604,42.2,428,71.3,455,1043,36,897,30.9,5,64.7,12.8,552,37,582,184,31.6,375,299,2.6,86.2,300,10.34,743,25.62
Ohio St. (Big Ten),0,2,77.3,391,1.25,3.4,46,742,1751,42.4,646,76.3,554,1086,36.2,1010,33.7,2.5,71,6.4,677,36.5,665,227,34.1,306,313,-0.2,70,292,9.73,794,26.47
West Virginia (Big 12),1,3,77.3,373,1.14,2.9,42.8,716,1619,44.2,654,71.7,442,1033,38.3,965,35.7,2.5,72.1,5.2,549,35.7,603,195,32.3,401,328,2.7,66.7,367,13.59,666,24.67
Oklahoma St. (Big 12),1,4,77.1,370,0.83,4.4,46.7,726,1762,41.2,602,71.3,470,1081,38.6,994,35.5,3.1,72.9,4.2,529,33.8,657,209,31.8,402,446,-1.6,71.4,310,11.07,771,27.54
Creighton (Big East),2,5,77,444,1.42,3.5,47.6,694,1709,40.6,450,64.2,434,1011,36.1,1022,36.5,-0.4,68.3,8.7,742,36.7,666,214,32.1,351,312,1.4,71.4,237,8.46,774,27.64
UC Santa Barbara (Big West),0,12,76.5,423,1.48,2.8,48.5,597,1422,42,505,75,413,915,35.2,773,29.7,5.5,62.8,13.7,501,35.1,450,150,33.3,365,285,3.1,84.6,245,9.42,670,25.77
Michigan (Big Ten),3,1,76.2,371,1.39,4.3,48.3,572,1451,39.4,400,77.8,353,899,37.5,751,31.3,6.2,65.4,10.8,468,38.7,475,159,33.5,246,266,-0.8,83.3,219,9.12,680,28.33
Syracuse (ACC),2,11,75.8,382,1.37,4.9,44.1,634,1527,41.5,435,78.4,363,896,35.8,946,37.8,-2,70.7,5.1,598,33.9,670,213,31.8,364,279,3.4,64,274,10.96,622,24.88
North Carolina (ACC),0,8,75.7,433,1.05,4.7,44.1,704,1673,42.1,614,66.8,472,1209,43.2,905,32.3,10.9,69.4,6.3,496,31.7,638,220,34.5,389,414,-0.9,64.3,445,15.89,764,27.29
Grand Canyon (WAC),0,15,75.6,371,1.23,3,49.2,492,1307,37.6,423,68.6,392,921,40,696,30.3,9.8,61.1,14.5,470,33.2,548,158,28.8,273,301,-1.2,73.9,248,10.78,673,29.26
Villanova (Big East),2,5,75.5,336,1.69,1.5,45,544,1219,44.6,388,76.5,341,755,34.3,722,32.8,1.5,67.1,8.4,576,35.2,496,175,35.3,278,199,3.6,72.7,211,9.59,544,24.73
Georgia Tech (ACC),0,9,75.5,402,1.45,3.4,47.4,643,1402,45.9,425,72.7,391,770,30.8,860,34.4,-3.6,70,5.5,541,34.9,486,178,36.6,398,278,4.8,68,204,8.16,566,22.64
Texas (Big 12),0,3,75.2,342,0.92,3.9,45.4,624,1511,41.3,513,70.8,515,1005,38.7,890,34.2,4.4,68.8,6.4,632,35.6,505,163,32.3,328,370,-1.6,73.1,286,11,719,27.65
Norfolk St. (MEAC),0,16,75.2,282,0.94,3.3,43.6,523,1296,40.4,521,70.6,453,850,37,831,36.1,0.8,69.2,6,489,36.8,579,183,31.6,359,301,2.5,69.6,241,10.48,609,26.48
Liberty (ASUN),0,13,74.9,446,1.65,2.3,49.1,611,1493,40.9,368,77.7,407,935,33.4,828,29.6,3.8,59.6,15.2,740,39.1,540,168,31.1,328,271,2,82.1,198,7.07,737,26.32
